[ Valid | 129/600 ] loss = 0.30590, acc = 0.91619  epoch 128
[ Valid | 130/600 ] loss = 0.27452, acc = 0.91723  epoch 129
[ Valid | 131/600 ] loss = 0.33245, acc = 0.90739  epoch 130
[ Valid | 132/600 ] loss = 0.34148, acc = 0.89962  epoch 131
[ Valid | 133/600 ] loss = 0.43172, acc = 0.87661  epoch 132
[ Valid | 134/600 ] loss = 0.30547, acc = 0.90739  epoch 133
[ Valid | 135/600 ] loss = 0.28934, acc = 0.92367  epoch 134
[ Valid | 136/600 ] loss = 0.28954, acc = 0.91420  epoch 135
[ Valid | 137/600 ] loss = 0.29496, acc = 0.91458  epoch 136
[ Valid | 138/600 ] loss = 0.29714, acc = 0.91515  epoch 137
[ Valid | 139/600 ] loss = 0.29527, acc = 0.90890  epoch 138
[ Valid | 140/600 ] loss = 0.28398, acc = 0.91373  epoch 139
[ Valid | 141/600 ] loss = 0.30792, acc = 0.90994  epoch 140
[ Valid | 142/600 ] loss = 0.29349, acc = 0.92093  epoch 141
[ Valid | 143/600 ] loss = 0.34422, acc = 0.90426  epoch 142
[ Valid | 144/600 ] loss = 0.27655, acc = 0.91108  epoch 143
[ Valid | 145/600 ] loss = 0.31028, acc = 0.90057  epoch 144
[ Valid | 146/600 ] loss = 0.29982, acc = 0.91572  epoch 145
[ Valid | 147/600 ] loss = 0.32467, acc = 0.90473  epoch 146
[ Valid | 148/600 ] loss = 0.31054, acc = 0.90218  epoch 147
[ Valid | 149/600 ] loss = 0.28178, acc = 0.91932  epoch 148
[ Valid | 150/600 ] loss = 0.29011, acc = 0.92301  epoch 149
[ Valid | 151/600 ] loss = 0.33378, acc = 0.91629  epoch 150
[ Valid | 152/600 ] loss = 0.34388, acc = 0.91790  epoch 151
[ Valid | 153/600 ] loss = 0.28003, acc = 0.92348  epoch 152
[ Valid | 154/600 ] loss = 0.33357, acc = 0.91259  epoch 153
[ Valid | 155/600 ] loss = 0.32695, acc = 0.90691  epoch 154
[ Valid | 156/600 ] loss = 0.33923, acc = 0.89328  epoch 155
[ Valid | 157/600 ] loss = 0.30027, acc = 0.91259  epoch 156
[ Valid | 158/600 ] loss = 0.35150, acc = 0.90066  epoch 157
[ Valid | 159/600 ] loss = 0.35116, acc = 0.89593  epoch 158
[ Valid | 160/600 ] loss = 0.28433, acc = 0.91989  epoch 159
[ Valid | 161/600 ] loss = 0.29368, acc = 0.92244  epoch 160
[ Valid | 162/600 ] loss = 0.24930, acc = 0.91373  epoch 161
[ Valid | 163/600 ] loss = 0.34166, acc = 0.91051  epoch 162
[ Valid | 164/600 ] loss = 0.29734, acc = 0.90739  epoch 163
[ Valid | 165/600 ] loss = 0.31247, acc = 0.91941  epoch 164
[ Valid | 166/600 ] loss = 0.26972, acc = 0.91723  epoch 165
[ Valid | 167/600 ] loss = 0.28471, acc = 0.93182 -> best epoch 166
[ Valid | 168/600 ] loss = 0.31912, acc = 0.90994  epoch 167
[ Valid | 169/600 ] loss = 0.29179, acc = 0.92244  epoch 168
[ Valid | 170/600 ] loss = 0.34230, acc = 0.91562  epoch 169
[ Valid | 171/600 ] loss = 0.25212, acc = 0.93854 -> best epoch 170
[ Valid | 172/600 ] loss = 0.26827, acc = 0.91828  epoch 171
[ Valid | 173/600 ] loss = 0.33361, acc = 0.91411  epoch 172
[ Valid | 174/600 ] loss = 0.31215, acc = 0.91619  epoch 173
[ Valid | 175/600 ] loss = 0.31161, acc = 0.90833  epoch 174
[ Valid | 176/600 ] loss = 0.30139, acc = 0.91979  epoch 175
[ Valid | 177/600 ] loss = 0.28958, acc = 0.92055  epoch 176
[ Valid | 178/600 ] loss = 0.33652, acc = 0.91420  epoch 177
[ Valid | 179/600 ] loss = 0.33223, acc = 0.91316  epoch 178
[ Valid | 180/600 ] loss = 0.33451, acc = 0.91458  epoch 179
[ Valid | 181/600 ] loss = 0.31196, acc = 0.91676  epoch 180
[ Valid | 182/600 ] loss = 0.30876, acc = 0.92093  epoch 181
[ Valid | 183/600 ] loss = 0.27331, acc = 0.92661  epoch 182
[ Valid | 184/600 ] loss = 0.31932, acc = 0.90625  epoch 183
[ Valid | 185/600 ] loss = 0.29161, acc = 0.92509  epoch 184
[ Valid | 186/600 ] loss = 0.35381, acc = 0.90739  epoch 185
[ Valid | 187/600 ] loss = 0.36189, acc = 0.89602  epoch 186
[ Valid | 188/600 ] loss = 0.27844, acc = 0.93229  epoch 187
[ Valid | 189/600 ] loss = 0.30624, acc = 0.91875  epoch 188
[ Valid | 190/600 ] loss = 0.36129, acc = 0.89962  epoch 189
[ Valid | 191/600 ] loss = 0.34835, acc = 0.92083  epoch 190
[ Valid | 192/600 ] loss = 0.24086, acc = 0.92150  epoch 191
[ Valid | 193/600 ] loss = 0.25326, acc = 0.92775  epoch 192
[ Valid | 194/600 ] loss = 0.30356, acc = 0.92869  epoch 193
[ Valid | 195/600 ] loss = 0.30603, acc = 0.92509  epoch 194
[ Valid | 196/600 ] loss = 0.28111, acc = 0.90739  epoch 195
[ Valid | 197/600 ] loss = 0.31486, acc = 0.91790  epoch 196
[ Valid | 198/600 ] loss = 0.27006, acc = 0.92973  epoch 197
[ Valid | 199/600 ] loss = 0.27346, acc = 0.92405  epoch 198
[ Valid | 200/600 ] loss = 0.28492, acc = 0.92396  epoch 199
[ Valid | 201/600 ] loss = 0.30132, acc = 0.92661  epoch 200
[ Valid | 202/600 ] loss = 0.28330, acc = 0.92197  epoch 201
[ Valid | 203/600 ] loss = 0.26618, acc = 0.92509  epoch 202
[ Valid | 204/600 ] loss = 0.29890, acc = 0.92405  epoch 203
[ Valid | 205/600 ] loss = 0.27682, acc = 0.92244  epoch 204
[ Valid | 206/600 ] loss = 0.31760, acc = 0.91676  epoch 205
[ Valid | 207/600 ] loss = 0.29681, acc = 0.92348  epoch 206
[ Valid | 208/600 ] loss = 0.26802, acc = 0.93864 -> best epoch 207
[ Valid | 209/600 ] loss = 0.28723, acc = 0.91572  epoch 208
[ Valid | 210/600 ] loss = 0.28492, acc = 0.93390  epoch 209
[ Valid | 211/600 ] loss = 0.23568, acc = 0.93437  epoch 210
[ Valid | 212/600 ] loss = 0.31023, acc = 0.91581  epoch 211
[ Valid | 213/600 ] loss = 0.27403, acc = 0.93144  epoch 212
[ Valid | 214/600 ] loss = 0.31272, acc = 0.91525  epoch 213
[ Valid | 215/600 ] loss = 0.31150, acc = 0.91307  epoch 214
[ Valid | 216/600 ] loss = 0.30162, acc = 0.93295  epoch 215
[ Valid | 217/600 ] loss = 0.27745, acc = 0.92614  epoch 216
[ Valid | 218/600 ] loss = 0.28761, acc = 0.93750  epoch 217
[ Valid | 219/600 ] loss = 0.32633, acc = 0.91411  epoch 218
[ Valid | 220/600 ] loss = 0.28777, acc = 0.93343  epoch 219
[ Valid | 221/600 ] loss = 0.29132, acc = 0.91771  epoch 220
[ Valid | 222/600 ] loss = 0.29389, acc = 0.92831  epoch 221
[ Valid | 223/600 ] loss = 0.27120, acc = 0.92708  epoch 222
[ Valid | 224/600 ] loss = 0.27567, acc = 0.92822  epoch 223
[ Valid | 225/600 ] loss = 0.31826, acc = 0.91364  epoch 224
[ Valid | 226/600 ] loss = 0.28162, acc = 0.93078  epoch 225
[ Valid | 227/600 ] loss = 0.32303, acc = 0.92348  epoch 226
[ Valid | 228/600 ] loss = 0.27536, acc = 0.93343  epoch 227
[ Valid | 229/600 ] loss = 0.30707, acc = 0.92926  epoch 228
[ Valid | 230/600 ] loss = 0.31585, acc = 0.91155  epoch 229
[ Valid | 231/600 ] loss = 0.28167, acc = 0.91941  epoch 230
[ Valid | 232/600 ] loss = 0.40090, acc = 0.90530  epoch 231
[ Valid | 233/600 ] loss = 0.23953, acc = 0.92718  epoch 232
[ Valid | 234/600 ] loss = 0.29149, acc = 0.92348  epoch 233
[ Valid | 235/600 ] loss = 0.32309, acc = 0.93078  epoch 234
[ Valid | 236/600 ] loss = 0.28902, acc = 0.92036  epoch 235
[ Valid | 237/600 ] loss = 0.26465, acc = 0.92869  epoch 236
[ Valid | 238/600 ] loss = 0.31537, acc = 0.91771  epoch 237
[ Valid | 239/600 ] loss = 0.30396, acc = 0.92765  epoch 238
[ Valid | 240/600 ] loss = 0.30635, acc = 0.92765  epoch 239
[ Valid | 241/600 ] loss = 0.33740, acc = 0.91259  epoch 240
[ Valid | 242/600 ] loss = 0.28905, acc = 0.92197  epoch 241
[ Valid | 243/600 ] loss = 0.25732, acc = 0.93447  epoch 242
[ Valid | 244/600 ] loss = 0.23161, acc = 0.93551  epoch 243
[ Valid | 245/600 ] loss = 0.24821, acc = 0.93125  epoch 244
[ Valid | 246/600 ] loss = 0.26279, acc = 0.92661  epoch 245
[ Valid | 247/600 ] loss = 0.27185, acc = 0.93286  epoch 246
[ Valid | 248/600 ] loss = 0.28070, acc = 0.93400  epoch 247
[ Valid | 249/600 ] loss = 0.29846, acc = 0.91420  epoch 248
[ Valid | 250/600 ] loss = 0.33054, acc = 0.91468  epoch 249
[ Valid | 251/600 ] loss = 0.29488, acc = 0.93134  epoch 250
[ Valid | 252/600 ] loss = 0.32622, acc = 0.93608  epoch 251
[ Valid | 253/600 ] loss = 0.31741, acc = 0.92708  epoch 252
[ Valid | 254/600 ] loss = 0.25671, acc = 0.94063 -> best epoch 253
[ Valid | 255/600 ] loss = 0.22371, acc = 0.94233 -> best epoch 254
[ Valid | 256/600 ] loss = 0.23734, acc = 0.92926  epoch 255
[ Valid | 257/600 ] loss = 0.29822, acc = 0.93030  epoch 256
[ Valid | 258/600 ] loss = 0.32136, acc = 0.92301  epoch 257
[ Valid | 259/600 ] loss = 0.30668, acc = 0.92822  epoch 258
[ Valid | 260/600 ] loss = 0.28043, acc = 0.94328 -> best epoch 259
[ Valid | 261/600 ] loss = 0.27701, acc = 0.92206  epoch 260
[ Valid | 262/600 ] loss = 0.29683, acc = 0.93551  epoch 261
[ Valid | 263/600 ] loss = 0.29950, acc = 0.92358  epoch 262
[ Valid | 264/600 ] loss = 0.39023, acc = 0.90890  epoch 263
[ Valid | 265/600 ] loss = 0.25683, acc = 0.93759  epoch 264
[ Valid | 266/600 ] loss = 0.26644, acc = 0.92604  epoch 265
[ Valid | 267/600 ] loss = 0.28201, acc = 0.92083  epoch 266
[ Valid | 268/600 ] loss = 0.28201, acc = 0.92822  epoch 267
[ Valid | 269/600 ] loss = 0.29096, acc = 0.93598  epoch 268
[ Valid | 270/600 ] loss = 0.29028, acc = 0.92718  epoch 269
[ Valid | 271/600 ] loss = 0.27724, acc = 0.93958  epoch 270
[ Valid | 272/600 ] loss = 0.31289, acc = 0.92557  epoch 271
[ Valid | 273/600 ] loss = 0.30261, acc = 0.93437  epoch 272
[ Valid | 274/600 ] loss = 0.35779, acc = 0.92973  epoch 273
[ Valid | 275/600 ] loss = 0.33231, acc = 0.92822  epoch 274
[ Valid | 276/600 ] loss = 0.30020, acc = 0.92973  epoch 275
[ Valid | 277/600 ] loss = 0.34491, acc = 0.92197  epoch 276
[ Valid | 278/600 ] loss = 0.26749, acc = 0.93854  epoch 277
[ Valid | 279/600 ] loss = 0.26884, acc = 0.92405  epoch 278
[ Valid | 280/600 ] loss = 0.24595, acc = 0.94697 -> best epoch 279
[ Valid | 281/600 ] loss = 0.28408, acc = 0.93030  epoch 280
[ Valid | 282/600 ] loss = 0.25190, acc = 0.92765  epoch 281
[ Valid | 283/600 ] loss = 0.24587, acc = 0.94063  epoch 282
[ Valid | 284/600 ] loss = 0.29050, acc = 0.93343  epoch 283
[ Valid | 285/600 ] loss = 0.31490, acc = 0.92936  epoch 284
[ Valid | 286/600 ] loss = 0.23688, acc = 0.93343  epoch 285
[ Valid | 287/600 ] loss = 0.26318, acc = 0.93703  epoch 286
[ Valid | 288/600 ] loss = 0.30677, acc = 0.92708  epoch 287
[ Valid | 289/600 ] loss = 0.25751, acc = 0.94328  epoch 288
[ Valid | 290/600 ] loss = 0.25280, acc = 0.93078  epoch 289
[ Valid | 291/600 ] loss = 0.25540, acc = 0.93333  epoch 290
[ Valid | 292/600 ] loss = 0.23855, acc = 0.94167  epoch 291
[ Valid | 293/600 ] loss = 0.32787, acc = 0.92822  epoch 292
[ Valid | 294/600 ] loss = 0.28375, acc = 0.93494  epoch 293
[ Valid | 295/600 ] loss = 0.33884, acc = 0.92405  epoch 294
[ Valid | 296/600 ] loss = 0.30027, acc = 0.92557  epoch 295
[ Valid | 297/600 ] loss = 0.27808, acc = 0.93816  epoch 296
[ Valid | 298/600 ] loss = 0.30335, acc = 0.92765  epoch 297
[ Valid | 299/600 ] loss = 0.37129, acc = 0.92140  epoch 298
[ Valid | 300/600 ] loss = 0.33628, acc = 0.92206  epoch 299
[ Valid | 301/600 ] loss = 0.29497, acc = 0.93703  epoch 300
[ Valid | 302/600 ] loss = 0.27893, acc = 0.93229  epoch 301
[ Valid | 303/600 ] loss = 0.34622, acc = 0.90682  epoch 302
[ Valid | 304/600 ] loss = 0.31661, acc = 0.92557  epoch 303
[ Valid | 305/600 ] loss = 0.26169, acc = 0.93551  epoch 304
[ Valid | 306/600 ] loss = 0.36411, acc = 0.92140  epoch 305
[ Valid | 307/600 ] loss = 0.27237, acc = 0.92557  epoch 306
[ Valid | 308/600 ] loss = 0.31394, acc = 0.94167  epoch 307
[ Valid | 309/600 ] loss = 0.34977, acc = 0.92604  epoch 308
[ Valid | 310/600 ] loss = 0.28486, acc = 0.92926  epoch 309
[ Valid | 311/600 ] loss = 0.31802, acc = 0.92670  epoch 310
[ Valid | 312/600 ] loss = 0.25852, acc = 0.94119  epoch 311
[ Valid | 313/600 ] loss = 0.26790, acc = 0.94280  epoch 312
[ Valid | 314/600 ] loss = 0.28837, acc = 0.92822  epoch 313
[ Valid | 315/600 ] loss = 0.28742, acc = 0.93182  epoch 314
[ Valid | 316/600 ] loss = 0.32130, acc = 0.93456  epoch 315
[ Valid | 317/600 ] loss = 0.26971, acc = 0.93920  epoch 316
[ Valid | 318/600 ] loss = 0.27186, acc = 0.92765  epoch 317
[ Valid | 319/600 ] loss = 0.28280, acc = 0.94015  epoch 318
[ Valid | 320/600 ] loss = 0.29458, acc = 0.93911  epoch 319
[ Valid | 321/600 ] loss = 0.24981, acc = 0.94848 -> best epoch 320
[ Valid | 322/600 ] loss = 0.25479, acc = 0.95057 -> best epoch 321
[ Valid | 323/600 ] loss = 0.26122, acc = 0.93598  epoch 322
[ Valid | 324/600 ] loss = 0.23761, acc = 0.93958  epoch 323
[ Valid | 325/600 ] loss = 0.30426, acc = 0.92557  epoch 324
[ Valid | 326/600 ] loss = 0.30273, acc = 0.92661  epoch 325
[ Valid | 327/600 ] loss = 0.36526, acc = 0.91875  epoch 326
[ Valid | 328/600 ] loss = 0.26896, acc = 0.92453  epoch 327
[ Valid | 329/600 ] loss = 0.25541, acc = 0.93655  epoch 328
[ Valid | 330/600 ] loss = 0.29903, acc = 0.93239  epoch 329
[ Valid | 331/600 ] loss = 0.22283, acc = 0.94583  epoch 330
[ Valid | 332/600 ] loss = 0.25678, acc = 0.93437  epoch 331
